Reference	ID	Tags	OrigWords	Occurrence	TWLink	selections	comments	bookmarks	verseEdits	invalidated
2:13	ctfv	kt	μακαρίαν	1	rc://*/tw/dict/bible/kt/bless			0	0	0
2:13	smpv	kt	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ			0	0	0
2:13	xzqt	kt	δόξης	1	rc://*/tw/dict/bible/kt/glory			0	0	0
2:13	scfu	kt	Θεοῦ	1	rc://*/tw/dict/bible/kt/god			0	0	0
2:13	pqwf	kt	ἐλπίδα	1	rc://*/tw/dict/bible/kt/hope			0	0	0
2:13	mgn9	kt	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus			0	0	0
2:13	bpbw	kt	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior			0	0	0
2:13	eqaj	other	προσδεχόμενοι	1	rc://*/tw/dict/bible/other/receive			0	0	0
2:14	jy6c	kt	καλῶν	1	rc://*/tw/dict/bible/kt/good			0	0	0
2:14	bxw8	kt	καθαρίσῃ	1	rc://*/tw/dict/bible/kt/purify			0	0	0
2:14	uzyk	kt	λυτρώσηται	1	rc://*/tw/dict/bible/kt/redeem			0	0	0
2:14	s2u6	kt	ζηλωτὴν	1	rc://*/tw/dict/bible/kt/zealous			0	0	0
2:14	xhp7	other	ἀνομίας	1	rc://*/tw/dict/bible/other/lawful			0	0	0
2:15	ew7w	kt	ἐπιταγῆς	1	rc://*/tw/dict/bible/kt/authority			0	0	0
2:15	pnzt	kt	παρακάλει	1	rc://*/tw/dict/bible/kt/exhort			0	0	0
2:15	rvsu	other	ἔλεγχε	1	rc://*/tw/dict/bible/other/rebuke			0	0	0
3:1	yrw4	kt	ἐξουσίαις	1	rc://*/tw/dict/bible/kt/authority			0	0	0
3:1	w9yp	kt	ἀγαθὸν	1	rc://*/tw/dict/bible/kt/good			0	0	0
3:1	rtff	other	ἀρχαῖς	1	rc://*/tw/dict/bible/other/ruler			0	0	0
3:1	s4xn	other	ὑποτάσσεσθαι	1	rc://*/tw/dict/bible/other/subject			0	0	0
3:2	xrq8	kt	πραΰτητα	1	rc://*/tw/dict/bible/kt/humble			0	0	0
3:2	kjtc	other	ἀμάχους	1	rc://*/tw/dict/bible/other/peace			0	0	0
3:2	sq5t	other	βλασφημεῖν	1	rc://*/tw/dict/bible/other/slander			0	0	0
3:3	strs	kt	κακίᾳ	1	rc://*/tw/dict/bible/kt/evil			0	0	0
3:3	tjjs	kt	ἀνόητοι	1	rc://*/tw/dict/bible/kt/foolish			0	0	0
3:3	udd5	other	δουλεύοντες	1	rc://*/tw/dict/bible/other/enslave			0	0	0
3:3	p9ch	other	φθόνῳ	1	rc://*/tw/dict/bible/other/envy			0	0	0
3:3	gz5z	other	ἐπιθυμίαις	1	rc://*/tw/dict/bible/other/lust			0	0	0
3:4	g4b9	kt	Θεοῦ	1	rc://*/tw/dict/bible/kt/god			0	0	0
3:4	nwn9	kt	φιλανθρωπία	1	rc://*/tw/dict/bible/kt/love			0	0	0
3:4	x4gg	kt	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior			0	0	0
3:5	f8tn	kt	παλινγενεσίας	1	rc://*/tw/dict/bible/kt/bornagain			0	0	0
3:5	m5b2	kt	λουτροῦ	1	rc://*/tw/dict/bible/kt/clean			0	0	0
3:5	e5fx	kt	Πνεύματος Ἁγίου	1	rc://*/tw/dict/bible/kt/holyspirit			0	0	0
3:5	uvcs	kt	ἔλεος	1	rc://*/tw/dict/bible/kt/mercy			0	0	0
3:5	sqsf	kt	δικαιοσύνῃ	1	rc://*/tw/dict/bible/kt/righteous			0	0	0
3:5	y2kk	kt	ἔσωσεν	1	rc://*/tw/dict/bible/kt/save			0	0	0
3:6	bmkx	kt	Χριστοῦ	1	rc://*/tw/dict/bible/kt/christ			0	0	0
3:6	snat	kt	Ἰησοῦ	1	rc://*/tw/dict/bible/kt/jesus			0	0	0
3:6	h9fu	kt	Σωτῆρος	1	rc://*/tw/dict/bible/kt/savior			0	0	0
3:7	g6gy	kt	αἰωνίου	1	rc://*/tw/dict/bible/kt/eternity			0	0	0
3:7	qjc9	kt	χάριτι	1	rc://*/tw/dict/bible/kt/grace			0	0	0
3:7	yut8	kt	ἐλπίδα	1	rc://*/tw/dict/bible/kt/hope			0	0	0
3:7	va33	kt	δικαιωθέντες	1	rc://*/tw/dict/bible/kt/justice			0	0	0
3:7	w3sp	other	κληρονόμοι	1	rc://*/tw/dict/bible/other/heir			0	0	0
3:8	aphr	kt	πεπιστευκότες	1	rc://*/tw/dict/bible/kt/believe			0	0	0
3:8	dxb8	kt	πιστὸς	1	rc://*/tw/dict/bible/kt/faithful			0	0	0
3:8	gbdk	kt	Θεῷ	1	rc://*/tw/dict/bible/kt/god			0	0	0
3:8	cmmp	kt	καλῶν	1	rc://*/tw/dict/bible/kt/good			0	0	0
3:8	sbrv	kt	καλὰ	1	rc://*/tw/dict/bible/kt/good			0	0	0
3:8	qttb	other	ὠφέλιμα	1	rc://*/tw/dict/bible/other/profit			0	0	0
3:9	ctja	kt	μωρὰς	1	rc://*/tw/dict/bible/kt/foolish			0	0	0
3:9	nptj	kt	νομικὰς	1	rc://*/tw/dict/bible/kt/lawofmoses			0	0	0
3:9	zxns	other	ἔρεις	1	rc://*/tw/dict/bible/other/strife			0	0	0
